CGNDB ID,Geographical Name,Generic Term,Latitude,Longitude,Province - Territory
BADES,Point Prim,Point,46.0501030,-63.0390110,Prince Edward Island
BADRN,Point Prim,Locality,46.0666670,-62.9833330,Prince Edward Island
BABWD,Point of the Narrows,Point,46.7292120,-63.9847970,Prince Edward Island
BADRO,Pollard Brook,Brook,46.7138380,-64.4038280,Prince Edward Island
BADRQ,Pond Point,Point,46.0546370,-62.9554400,Prince Edward Island
BAEUG,Poole's Corner Provincial Park,Provincial Park,46.2100250,-62.6518220,Prince Edward Island
BACAT,Pooles Corner,Locality,46.2108810,-62.6523490,Prince Edward Island
BADRS,Poplar Grove,Locality,46.6552050,-63.9317490,Prince Edward Island
BADRT,Poplar Island,Island,46.2592640,-63.1803820,Prince Edward Island
BADRV,Poplar Point,Locality,46.2810240,-62.4887680,Prince Edward Island
BADRU,Poplar Point,Point,46.2706830,-62.4867350,Prince Edward Island
BAALK,Port Borden,Port,46.2474770,-63.6962590,Prince Edward Island
BADRZ,Port Borden,Post Office,46.2527780,-63.6986110,Prince Edward Island
BACAV,Port Hill,Locality,46.5795550,-63.8782980,Prince Edward Island
BADSB,Port Hill Station,Locality,46.5791820,-63.9520200,Prince Edward Island
BAEYH,Port-la-Joye–Fort Amherst National Historic Site of Canada,National Historic Site,46.2000000,-63.1333330,Prince Edward Island
BADRW,Portage,Locality,46.6644140,-64.0596730,Prince Edward Island
BADRX,Portage Lake,Lake,46.6688240,-64.0741260,Prince Edward Island
BADEM,Portage River,River,46.6994640,-64.0779160,Prince Edward Island
BADRY,Portage Shore,Shore,46.5774680,-64.0559680,Prince Edward Island
BACBB,Poverty Beach,Beach,46.0305580,-62.4842980,Prince Edward Island
BADEN,Pownal,Locality,46.2026320,-62.9730910,Prince Edward Island
BACBC,Pownal Bay,Bay,46.1666670,-62.9666670,Prince Edward Island
BACBD,Pownal Point,Point,46.1738880,-62.9868760,Prince Edward Island
BACBF,Poxy Island,Island,46.1737790,-62.5217740,Prince Edward Island
BACBG,Prevost Cove,Cove,46.2215240,-63.6305150,Prince Edward Island
BACBJ,Priest Pond,Pond,46.4797890,-62.1802910,Prince Edward Island
BACBI,Priest Pond,Locality,46.4781250,-62.1804200,Prince Edward Island
BADEQ,Priest Pond Creek,Creek,46.4814990,-62.1794620,Prince Edward Island
BACBK,Prim Reefs,Reefs,46.0500000,-63.0833330,Prince Edward Island
BACBL,Primrose,Locality,46.2986030,-62.5422820,Prince Edward Island
BADEU,Prince,County,46.7500000,-64.0833330,Prince Edward Island
BAEXR,Prince Edward Island,Island,46.5000000,-63.0000000,Prince Edward Island
BACBM,Prince Edward Island,Province,46.5000000,-63.0000000,Prince Edward Island
BAEXZ,Prince Edward Island National Park of Canada,National Park,46.4333330,-63.2000000,Prince Edward Island
BAETE,Princetown,Royalty,46.5500000,-63.6833330,Prince Edward Island
BACBO,Princetown Point,Point,46.5336060,-63.7336160,Prince Edward Island
BACBP,Profits Corner,Locality,46.8966450,-64.0849300,Prince Edward Island
BACBQ,Profitts Point,Point,46.5676670,-63.6679840,Prince Edward Island
BAEYF,Province House National Historic Site of Canada,National Historic Site,46.2355560,-63.1277780,Prince Edward Island
BACBR,Prowses Pond,Pond,46.0814540,-62.7420670,Prince Edward Island
BADEY,Queens,County,46.2833330,-63.2500000,Prince Edward Island
BACBS,Queens Point,Point,46.3941160,-63.0039020,Prince Edward Island
BACBT,Quigleys Pond,Pond,46.4040430,-62.5441460,Prince Edward Island
BACBV,Quinns Brook,Brook,46.2778360,-63.3881750,Prince Edward Island
