CGNDB ID,Geographical Name,Language,Syllabic Form,Generic Term,Generic Category,Concise Code,Toponymic Feature ID,Latitude,Longitude,Location,Province - Territory,Relevance at Scale,Decision Date,Source
KAIFG,Ł'èx Hîni Shâk Âyi,Tlingit,,Lake,Water Feature,LAKE,479273fcbbe311d892e2080020a0f4c9,61.6011111,-133.0780556,,Yukon,250000,2000-10-23,Yukon-Department of Tourism and Culture
KAIIX,Ł'êw X'àyi,Tlingit,,Point,Terrain Feature,CAPE,3affe9d3849c20c35802ac272667fd7c,60.1277138,-132.6699167,,Yukon,50000,2006-05-26,Yukon-Department of Tourism and Culture
KBAXI,Łu Ghą,Southern Tutchone,,Locality,Populated Place,UNP,3c5149c5d05411d892e2080020a0f4c9,60.2936111,-137.0036111,,Yukon,250000,2018-09-11,Yukon-Department of Tourism and Culture
KBAWP,Łu Ghą Chùa,Southern Tutchone,,River,Water Feature,RIV,3c6742c7d05411d892e2080020a0f4c9,60.1160889,-137.0398459,,Yukon,250000,2018-09-11,Yukon-Department of Tourism and Culture
KBAWN,Łu Ghą Dhǟla ,Southern Tutchone,,Mountain,Terrain Feature,MTN,44a8f8b4788a44feaf9cbe49eb8af2c8,60.2872222,-136.9269444,,Yukon,50000,2018-09-11,Yukon-Department of Tourism and Culture
KBAXH,Łu Ghą Mǟn,Southern Tutchone,,Lake,Water Feature,LAKE,2ced5bafd05511d892e2080020a0f4c9,60.3169444,-137.0188889,,Yukon,250000,2018-09-11,Yukon-Department of Tourism and Culture
KBAAY,Łu Nétthäna Creek,Northern Tutchone,,Creek,Water Feature,RIV,0c6f4225849c20c37dc68c81a0d18cf4,61.5663792,-135.1069113,,Yukon,250000,2008-09-25,Yukon-Department of Tourism and Culture
KBAAZ,Łu Nétthäna Lake,Northern Tutchone,,Lake,Water Feature,LAKE,0c6f41e2849c20c357323d3b1e946b19,61.6953406,-135.4035161,,Yukon,250000,2008-09-25,Yukon-Department of Tourism and Culture
KBBEZ,Łu Shäw Tsàn Mǟn,Southern Tutchone,,Lake,Water Feature,LAKE,298acf75d05511d892e2080020a0f4c9,61.1877778,-136.9494444,,Yukon,250000,2011-08-17,Yukon-Department of Tourism and Culture
KBBEF,Łuk Tshik,Gwich'in,,Creek,Water Feature,RIV,d5aac4e118744f3cbb7cfa3571e6de95,67.8844444,-136.4483333,,Yukon,50000,2018-09-11,Yukon-Department of Tourism and Culture
KAIIK,Łyó Ts'eda,Northern Tutchone,,Creek,Water Feature,RIV,10dd0879849c20c3e312b731a7d7724f,61.2411111,-134.6150000,,Yukon,50000,2004-03-08,Yukon-Department of Tourism and Culture
KBACR,Łyó Tsʼeda Chú,Northern Tutchone,,Creek,Water Feature,RIV,cd8c55660a0012041e1f0f12fd3fc6c5,61.6663975,-134.8419756,,Yukon,50000,2007-04-20,Yukon-Department of Tourism and Culture
KBAUI,Łùh Najidikaii,Gwich'in,,Hill,Terrain Feature,MTN,a1d5f61d90f74ac7a20830ebd6bc6847,67.2988889,-136.9469444,,Yukon,50000,2018-09-11,Yukon-Department of Tourism and Culture
KAHYT,Łútsaw Lake,Undetermined,,Lake,Water Feature,LAKE,fdd74b8ac6cd11d892e2080020a0f4c9,62.6808330,-136.7405560,,Yukon,250000,2006-05-25,Yukon-Department of Tourism and Culture
KAIJL,Łútsäw Mǟn,Northern Tutchone,,Lake,Water Feature,LAKE,fdd74b8ac6cd11d892e2080020a0f4c9,62.6808330,-136.7405560,,Yukon,250000,2006-05-25,Yukon-Department of Tourism and Culture
KAIGW,Łútth'i Mǟn,Northern Tutchone,,Lake,Water Feature,LAKE,0c6f4266849c20c3631a981a40cde4c6,62.1658330,-135.8505560,,Yukon,250000,2004-03-08,Yukon-Department of Tourism and Culture
KBABO,Łûn Néʼelo,Northern Tutchone,,Lake,Water Feature,LAKE,2bfd2f3ad05511d892e2080020a0f4c9,63.6838890,-135.5252780,,Yukon,1000000,2009-01-15,Yukon-Department of Tourism and Culture
KBABP,Łûn Néʼelo Tagíya,Northern Tutchone,,Creek,Water Feature,RIV,3a914a1dd05411d892e2080020a0f4c9,63.6183330,-135.4775000,,Yukon,250000,2009-01-15,Yukon-Department of Tourism and Culture
KBAFV,A'ąy Chù',Southern Tutchone,,River,Water Feature,RIV,4ee9e059d05411d892e2080020a0f4c9,61.0156678,-138.4990098,,Yukon,1000000,2013-05-30,Yukon-Department of Tourism and Culture
KAHYI,AMP Creek,Undetermined,,Creek,Water Feature,RIV,0cac1f62849c20c32ea6028ec1afec60,60.0450000,-131.7255556,,Yukon,50000,1988-12-02,Yukon-Department of Tourism and Culture
KAAAC,Aberdeen Canyon,Undetermined,,Canyon,Terrain Feature,VALL,0c6edb82849c20c3aa39323959ea9c93,65.8802778,-135.7216667,,Yukon,250000,1965-08-05,Yukon-Department of Tourism and Culture
KAAAF,Abraham Creek,Undetermined,,Creek,Water Feature,RIV,22b8718cd05511d892e2080020a0f4c9,63.5262646,-139.9624558,,Yukon,50000,1980-12-23,Yukon-Department of Tourism and Culture
KBAVT,Ach'at,Southern Tutchone,,Mountain,Terrain Feature,MTN,1d38cb7cd4104a7fa0a04465147bc33e,60.3738889,-136.8644444,,Yukon,50000,2018-09-11,Yukon-Department of Tourism and Culture
KAAAJ,Acland Creek,Undetermined,,Creek,Water Feature,RIV,0cf73492849c20c3ff92166032c05e01,60.2996462,-127.5018971,,Yukon,250000,1956-08-02,Yukon-Department of Tourism and Culture
KBAHC,Adagingé Shà,Tlingit,,Mountain,Terrain Feature,MTN,4884ea49d05411d892e2080020a0f4c9,61.1257934,-133.4225183,,Yukon,250000,2013-03-01,Yukon-Department of Tourism and Culture
KAAAM,Adams Creek,Undetermined,,Creek,Water Feature,RIV,0c6edc0f849c20c3b7bb130ab8b49ae9,63.9349162,-139.3283464,,Yukon,250000,1978-09-26,Yukon-Department of Tourism and Culture
KBAHG,Adàgayi Hîni,Tlingit,,Creek,Water Feature,RIV,2fe0521ad05411d892e2080020a0f4c9,60.3405556,-133.0680556,,Yukon,250000,2013-03-01,Yukon-Department of Tourism and Culture
KAAAP,Afe Creek,Undetermined,,Creek,Water Feature,RIV,0c6edcd0849c20c3c965aadc19280e3b,62.2793011,-135.9022882,,Yukon,50000,1954-09-02,Yukon-Department of Tourism and Culture
KAAAQ,Afe Peak,Undetermined,,Peak,Terrain Feature,MTN,0c6edc90849c20c319bc6499fd7ae25b,62.2577700,-135.3912030,,Yukon,50000,1954-09-02,Yukon-Department of Tourism and Culture
KAAAR,Agassiz Glacier,Undetermined,,Glacier,Ice and Snow Feature,GLAC,0c6edd52849c20c394593862e57628ac,60.2333333,-140.6500000,,Yukon,250000,1960-09-01,Yukon-Department of Tourism and Culture
KAAAS,Agate Creek,Undetermined,,Creek,Water Feature,RIV,0c6edd11849c20c3ac22c29cc14ece74,63.0444489,-138.9439703,,Yukon,250000,1936-07-15,Yukon-Department of Tourism and Culture
KAAAU,Aghoo Creek,Gwich'in,,Creek,Water Feature,RIV,0c6edd93849c20c37331938ce59ea40e,65.9945545,-134.6749581,,Yukon,250000,1977-08-10,Yukon-Department of Tourism and Culture
KAAAW,Ahvee Mountain,Gwich'in,,Mountain,Terrain Feature,MTN,24c5c2ced05411d892e2080020a0f4c9,67.1608710,-139.7904518,,Yukon,250000,1981-10-09,Yukon-Department of Tourism and Culture
KAAAY,Airdrop Lake,Undetermined,,Lake,Water Feature,LAKE,24d10d6fd05411d892e2080020a0f4c9,60.6550000,-138.3036111,,Yukon,250000,1981-02-03,Yukon-Department of Tourism and Culture
KAAAZ,Airplane Lake,Undetermined,,Lake,Water Feature,LAKE,22c4586dd05511d892e2080020a0f4c9,60.5452778,-129.6936111,,Yukon,250000,1980-07-14,Yukon-Department of Tourism and Culture
KAABC,Airstrip Creek,Undetermined,,Creek,Water Feature,RIV,24de05c0d05411d892e2080020a0f4c9,63.4004864,-136.8219825,,Yukon,250000,1981-02-13,Yukon-Department of Tourism and Culture
KAABD,Aishihik,Tlingit,,Locality,Populated Place,UNP,24e95061d05411d892e2080020a0f4c9,61.5977776,-137.5063888,,Yukon,250000,1981-03-09,Yukon-Department of Tourism and Culture
KAABF,Aishihik Lake,Tlingit,,Lake,Water Feature,LAKE,25000cb3d05411d892e2080020a0f4c9,61.4538888,-137.1636111,,Yukon,5000000,1981-03-09,Yukon-Department of Tourism and Culture
KAABG,Aishihik River,Tlingit,,River,Water Feature,RIV,24f49b02d05411d892e2080020a0f4c9,60.8354256,-137.0867549,,Yukon,2000000,1980-08-12,Yukon-Department of Tourism and Culture
KAABJ,Aitch Hill,Undetermined,,Hill,Terrain Feature,MTN,250b5754d05411d892e2080020a0f4c9,66.1566666,-137.1494443,,Yukon,250000,1981-10-09,Yukon-Department of Tourism and Culture
KAABM,Alan Creek,Undetermined,,Creek,Water Feature,RIV,759eda23ba3411d892e2080020a0f4c9,60.0677776,-130.5258333,,Yukon,250000,1952-07-03,Yukon-Department of Tourism and Culture
KAABR,Alaskite Creek,Undetermined,,Creek,Water Feature,RIV,25219e76d05411d892e2080020a0f4c9,61.5615796,-138.1043410,,Yukon,250000,1980-09-12,Yukon-Department of Tourism and Culture
KAABU,Albert Creek,Undetermined,,Creek,Water Feature,RIV,22cf7bfed05511d892e2080020a0f4c9,60.0544443,-128.9052778,,Yukon,250000,1980-07-14,Yukon-Department of Tourism and Culture
KAABV,Albert Creek,Undetermined,,Creek,Water Feature,RIV,22db3bcfd05511d892e2080020a0f4c9,61.5628586,-137.5497951,,Yukon,250000,1981-03-09,Yukon-Department of Tourism and Culture
